id,name,brand,retail_price,cost,category_id,distribution_center_id
29007,Washed Hunting Fishing Outdoor Hat-Camo W11S41D,MG,26.99,10.8,1,1
12777,Womens MW Tankini Boyshorts Swimsuit Swimwear Crisscross Back Multiple Prints S-xxl,MW,44.99,16.69,3,1
13285,Gottex Gottex Exclusive One Piece Wide Strap Tank,Gottex,128,53.38,3,1
25147,Bjorn Borg Men's Socks Single Pack Solid,Bjorn Borg,11.95,7.21,6,9
13333,Gottex Riley One Piece Wide Strap Tank,Gottex,128,56.32,3,1
13465,Gottex Zanzibar One Piece Surplice,Gottex,188,86.86,3,1
13480,Gottex Linea One Piece Halter,Gottex,178,71.38,3,1
12810,Mw Long Ruffle Tankini Bikini Swimsuit Bra Straps Multiple Prints,MW,44.99,21.06,3,1
28230,Miss Reef Dot Board Short - Men's,Reef,60,36.9,3,10
13491,Gottex Linea One Piece Bandeau,Gottex,178,75.29,3,1
25813,Duofold Men's Midweight Bottom,Duofold,23,11.78,23,10
12812,Womens long tankini bikini swimsuit Marina West 2 piece multiple prints bra straps,MW,44.99,21.15,3,1
6866,Splendid Women's Drawstring Short,Splendid,72,38.45,15,10
22300,RUDE Khaki Skinny Pants,Hot Topic,39.5,19.99,20,10
19542,Holden Shawl Collar Sweater - Men's,Holden,179.95,90.69,14,1
6969,Hurley - Hurley Girls Shorts - Lowrider Novelty,Hurley,27.65,13.66,15,1
27474,Hurley Men's Render 2-Way Stretch Board Short,Hurley,55,30.31,3,1
27498,Hurley Men's Dimension Phantom Boardshort,Hurley,65,36.27,3,1
12853,Womens MW Tankini Boyshorts Swimsuit Swimwear Fashion prints S-XXL,MW,44.99,18.72,3,1
12900,Womens One Piece/bikini Monokini Swimsuit w/ Fringe MW Multiple Prints and Solids,MW,39.99,17.4,3,1
13247,Womens swimsuit MW Swimwear Set Halter w/ Boyshorts 2 piece bikini multiple prints,MW,44.99,20.65,3,1
13477,MW Women's Swimsuit Two Piece Black Tankini with Bikini Bottoms,MW,54.99,22.6,3,1
13574,Womens MW Two Piece Tankini Boyshorts Swimsuit Brown & Turquoise Ethnic Print,MW,44.99,19.39,3,1
2848,2XU Women's Compression Recovery Sock,2XU,44.95,20.95,4,1
3039,2XU Women's Compression Race Sock,2XU,49.95,22.63,4,1
9041,2XU Women's Compression Race Sock,2XU,49.95,20.48,5,1
13122,2XU Women's Swimmers Compression Long Sleeve Top,2XU,150.41,68.74,3,1
18147,2XU Non-Stirrup Compression Calf Guard,2XU,40.45,17.07,4,1
18363,2XU Men's Compression Recovery Tights,2XU,159.94,65.1,4,1
18394,2XU Men's Compression Race Sock,2XU,49.95,22.98,4,1
18465,2XU Men's Elite Compression Performance Sock,2XU,60,27.24,4,1
18593,2XU Men's Compression Recovery Sock,2XU,43.15,17,4,1
18607,2XU Men's Compression 3/4 Tights,2XU,79.99,30.64,4,1
18644,2XU Men's Elite Compression Long Sleeve Top,2XU,107.52,41.29,4,1
18664,2XU Recovery Compression Leg Sleeves,2XU,59.95,25.84,4,1
18708,2XU Men's Thermal Compression Long Sleeve Top,2XU,111.22,42.6,4,1
18796,2XU Men's Compression Long Sleeve Top,2XU,84.06,36.31,4,1
24644,2XU Men's Compression Race Sock,2XU,49.95,27.87,6,1
24674,2XU Men's Elite Compression Performance Sock,2XU,60,35.64,6,1
24731,2XU Men's Compression Recovery Sock,2XU,43.15,25.59,6,1
27569,2XU Men's Swimmers Compression Long Sleeve Top,2XU,150.41,92.65,3,1
3206,AGB Women's Long Sleeve Striped Sweater Dress,AGB,79,38.31,7,1
3660,AGB Women's Short Sleeve Cowl Necked Sweater Dress,AGB,50.39,21.92,7,1
3682,AGB Women's Striped Long Sleeve Sweater Dress With Sash,AGB,45.35,18.96,7,1
3730,AGB Women's V-Neck Dress With Draped Side,AGB,89,39.07,7,1
3943,AGB Women's Plus-Size Ruched Short Sleeve V-Neck Dress with Empire Waistline,AGB,53.2,26.28,7,1
5353,AGB Women's Solid Challis Palazzo Pant With Self Sash,AGB,42,22.47,8,1
5433,BKE Women's Casual Linen Cotton Natural Comfortable Pants,BKE,20.21,11.64,8,1
9035,HDE Women's Solid Color Premium Microfiber Tights,HDE,3.95,1.4,5,1
14170,HDE Ladies Fashion Leather Skinny Belt with Bow Buckle & Gold Accents,HDE,2.95,1.19,1,1
28411,HDE Solid Color Suspenders - 20 Styles,HDE,4.88,2.08,1,1
28548,HDE Classic Bow Tie,HDE,2.95,1.28,1,1
28873,HDE Colorful Pattern Suspenders,HDE,3.95,1.39,1,1
29033,HDE Pattern Suspenders,HDE,3.95,1.72,1,1
25038,Huf Plantlife Crew Socks,Huf,11.95,7.6,6,1
17159,Independent Trading Co. Mens Sherpa Lined Full-Zip Contrast Hooded Sweatshirt (Assorted Colors),ITC,54.99,28.43,9,1
5357,(1272) Ladies Wide Leg Smart City Trousers Light Brown,Ice,27.99,15.45,8,1
5440,(1272) Wide Leg Smart Soft City Trousers Black,Ice,27.99,13.46,8,1
5474,(1279) Skinny Trousers Military Army Look Camourflage,Ice,24.99,13.89,8,1
7234,(2384) Fishtail Peplum Hem Pencil Skirt Black,Ice,24.99,9.2,10,1
7236,ICE (2328) Stretch Black Satin Pencil Skirt-14,Ice,25.99,11.38,10,1
7246,(2328) Satin Pencil Skirt with Skinny Belt Purple,Ice,23.99,9.45,10,1
7377,(2382) Waist Detail Pencil Skirt Shadow Stripe,Ice,24.99,10.2,10,1
7448,(2384) Fishtail Flute Skirt with Free Skinny Belt Beige,Ice,24.99,9.17,10,1
7903,ICE (5066) ladies smart herring bone tweed jacket brown 6-16,Ice,30.99,10.57,11,1
8080,(6252) Pinstripe Tailored Boot Leg Trouser Suit,Ice,57.99,37.11,12,1
8089,(6249-2) Smart Satin Evening Suit with Flute Skirt Beige,Ice,75.99,49.17,12,1
8093,ICE (2327) smart stretch pencil skirt + FREE belt black size 6-14,Ice,21.99,14.14,12,1
8101,ICE (2210) stretch pencil skirt school office navy blue sizes 4-14,Ice,13.99,8.51,12,1
8103,ICE (6237-2) pinstripe tailored trouser suit dark brown sizes 8-16,Ice,66.99,38.12,12,1
8107,(6251) Smart Casual Tailored Trouser Suit Dark Grey,Ice,55.99,36.06,12,1
8109,(6240) Dip Hemmed Flute Skirt Suit Pinstripe Black,Ice,63.99,37.75,12,1
8110,ICE (2356) stretch pencil skirt smart casual black 4-16,Ice,16.99,9.7,12,1
8139,(6242) Function Cocktail Lace Bolero Skirt Suit Black,Ice,95.99,59.51,12,1
8145,(6249-3) Teddy Style Function Suit with Pencil Skirt Grey,Ice,75.99,44.83,12,1
8148,ICE (6234) smart tailored pencil skirt suit grey stripe sizes 10-18,Ice,71.99,42.91,12,1
8155,ICE (6237-1) pinstripe tailored trouser suit dark navy blue sizes 8-16,Ice,66.99,42.87,12,1
8158,ICE (2347) pencil skirt stretch sateen + FREE belt red size 6-16,Ice,25.99,15.13,12,1
8160,ICE (2328) pencil skirt stretch satin + FREE belt red size 6-16,Ice,25.99,15.7,12,1
8162,ICE smart stretch pencil skirt beige 4-16,Ice,16.99,9.82,12,1
8185,ICE (2356) Stretch Pencil Skirt Smart Casual Wine 4-16,Ice,16.99,10.26,12,1
8188,(6239) Waist Detail Pencil Skirt Suit Shadow Stripe Black,Ice,55.99,35.5,12,1
8189,ICE (2359) lined chelsea beaded pencil skirt black sizes 8-18,Ice,33.99,19.2,12,1
8191,ICE (6230) smart pencil skirt suit black shadow stripe sizes 10-20,Ice,71.99,43.7,12,1
8194,ICE (2328) pencil skirt stretch satin + FREE belt black size 6-16,Ice,25.99,16.14,12,1
8195,ICE (6235) smart tailored trouser suit dark grey sizes 10-20,Ice,66.99,39.66,12,1
8197,ICE (2347) Pencil Skirt Stretch Sateen + Free Belt Silver Grey Size 6-16,Ice,25.99,16.19,12,1
8199,ICE (2360) smart fully lined suit pencil skirt texture dark grey sizes 10-20,Ice,26.99,17.17,12,1
8208,ICE (2347) pencil skirt stretch sateen + FREE belt black size 6-16,Ice,25.99,16.22,12,1
8209,ICE (2356) towie stretch pencil skirt olympic red 4-16,Ice,16.99,9.84,12,1
70,LnA Women's Beach Raglan Sweater,LNA,99,56.92,13,1
791,LnA Women's Alexandrine Sweater,LNA,99,44.65,14,1
2060,Next Level Apparel Ladies Juniors' Soft Thermal Hoodie T-Shirt. 8021,NLA,14,6.03,9,1
1935,QSW Women's Native Cocoon Hoodie,QSW,128,59.9,9,1
1972,QSW Women's Seabreeze Wrap,QSW,84,36.88,9,1
2349,QSW Women's Sand Dunes Hoodie Sweater,QSW,84,38.47,9,1
6529,QSW Women's Hannah's Vintage Cutoff Short,QSW,68,31.96,15,1
12746,TYR Sport Women's Solid Diamondback Swim Suit,TYR,60,27.84,3,1
12750,TYR Sport Women's Firerock Diamondback Swim Suit,TYR,77.99,34.94,3,1
12757,TYR Sport Women's Solid Maxback Swim Suit,TYR,59.95,22.78,3,1
12762,TYR Sport Women's Solid Durafast Diamondback Workout Bikini,TYR,45.45,20.82,3,1
12768,TYR Sport Women's Solid Diamondback Workout Bikini Swim Suit,TYR,55.76,21.75,3,1
12794,TYR Sport Women's Solid Durafast Maxback Swim Suit,TYR,40.62,17.14,3,1
12803,TYR Sport Women's Reversible Solid Diamondback Swim Suit,TYR,70.95,28.1,3,1
12807,TYR Alliance Maxback Women's Suit,TYR,76.49,31.13,3,1
21241,Mavi Men's Matt Jean,Mavi,98,55.66,16,6
12815,TYR Sport Women's Durafast Diamondback With Stripping Swim Suit,TYR,46.99,19.17,3,1
12850,TYR Sport Women's Alliance Durafast Splice Diamondback Swim Suit,TYR,54.95,20.5,3,1
12967,TYR Sport Women's Aurora Maxback Swim Suit,TYR,59.99,22.62,3,1
13052,TYR Sport Girls' Solid Durafast Maxback Swim Suit,TYR,49.06,22.52,3,1
13077,TYR Sport Women's Universe Diamondback Swim Suit,TYR,56,23.74,3,1
13190,TYR Sport Women's Reversible Solid Maxback Swim Suit,TYR,68,27.95,3,1
13312,TYR Sport Women's Great White Diamondback Swim Suit,TYR,72,30.31,3,1
13350,TYR Sport Women's Alliance Durafast Splice Diamondback Swim Suit,TYR,52.01,21.17,3,1
27445,TYR Sport Men's Square Leg Short Swim Suit,TYR,38.99,24.72,3,1
27457,TYR Sport Men's Solid Durafast Jammer Swim Suit,TYR,27.6,15.9,3,1
27466,TYR Sport Men's Swim Short/Resistance Short Swim Suit,TYR,30,17.85,3,1
27481,TYR Alliance Team Splice Jammer,TYR,45.95,29.41,3,1
27487,TYR Sport Men's 4-Inch Nylon Trainer-A Swim Suit,TYR,26.49,15.66,3,1
27510,TYR Sport Men's Solid Jammer Swim Suit,TYR,39.95,22.57,3,1
27537,TYR Sport Men's Alliance Durafast Splice Square Leg Swim Suit,TYR,39.99,24.35,3,1
27552,TYR Sport Men's Solid Racer Swim Suit,TYR,33.95,19.32,3,1
27599,TYR Sport Men's 8-Inch Nylon Team Trainer Swim Suit,TYR,26.51,16.44,3,1
27674,TYR Sport Men's Firerock Splice Jammer Swim Suit,TYR,44.96,27.07,3,1
27812,TYR Sport Men's Solid Durafast Racer Swim Suit,TYR,24.99,14.89,3,1
27960,TYR Sport Men's Firerock Splice Racer Swim Suit,TYR,25,15.08,3,1
27976,TYR Sport Men's Alliance Durafast Splice Racer Swim Suit,TYR,28.95,16.94,3,1
28039,TYR Sport Men's Universe Racer,TYR,38,21.7,3,1
28167,TYR Sport Men's Universe Splice Jammer,TYR,40,24.84,3,1
28204,TYR Sport Men's Great White Epic Splice Jammer Swim Suit,TYR,52,30.94,3,1
1513,VIP Womens Bright Crochet Pullover Sweater,VIP,12.99,5.52,14,1
3580,VIP Womens Ladies Belted Pleated Skater Party Dress,VIP,13.99,5.65,7,1
4330,YMI Juniors Five Pocket Jegging Jean,YMI,38,21.17,16,1
4474,YMI Juniors Floral Skinny,YMI,27.47,16.04,16,1
4477,YMI Belted Flare Leg Jeans [P466255-B1093],YMI,27.95,14.93,16,1
4889,YMI Sandblasted Stretch Skinny Jeans [P139657],YMI,28.99,15.89,16,1
4946,YMI Juniors Fleur De Lis Capri Jean,YMI,25,13.82,16,1
4983,YMI Stretch Bootcut Jeans W/ Button-Flap Pockets [P362075],YMI,28.99,15.83,16,1
6332,YMI Juniors Heavy Stitch Bermuda,YMI,11.33,5.3,15,1
6361,YMI Stretch 5-Pocket Denim Bermuda Shorts [M66169],YMI,24.99,12.52,15,1
6463,YMI Juniors Colored Denim Short,YMI,38,20.1,15,1
6583,YMI Cuffed Denim Shorts W/ Wide Waistband [S101437],YMI,24.99,11.52,15,1
6591,YMI Juniors Embroidered Short,YMI,38,20.25,15,1
6793,YMI Stretch Distressed & Frayed Denim Shorts,YMI,23.99,11.44,15,1
25089,3 - Prs. 5.11 Tactical 9 inch Socks Black,5.11,31.88,19.73,6,1
29099,Beza Geneva Money Clamp Black Matte with Wallet,Beza,34.95,13.81,1,1
3212,Bobi Women's Modal Jersey Cowl Neck Dress,Bobi,60,25.74,7,1
3351,Bobi Women's Supreme Jersey Cutout Sleeve Dress,Bobi,85,41.48,7,1
15178,Boob Designs Fast Food Nursing Bra,Boob,60,27.24,17,1
24721,ECCO Men's Cushion Mercerized Cotton Sock,ECCO,11,6.7,6,1
24771,ECCO Men's Crew Golf Cushion With Mesh Top Sock,ECCO,10,6.17,6,1
25335,ECCO Men's 3-Pack Solid Rib Cushion Sock,ECCO,27,15.26,6,1
25341,ECCO Men's Single Cushioned Crew Socks,ECCO,14.99,9.19,6,1
12710,Echo Design Women's Crinkle Shirt Dress,ECHO,98,43.9,3,1
12717,Echo Design Women's Solid Ruched One Piece,ECHO,118,46.73,3,1
12720,Echo Design Women's Solid Open Shoulder Dress,ECHO,68,26.93,3,1
12721,Echo Design Women's Braided Halter Dress,ECHO,48,22.03,3,1
12734,Echo Design Women's Loco Stripe Short Caftan,ECHO,48,17.9,3,1
12918,Echo Design Women's Batik Leaves Butterfly Tunic,ECHO,48,20.83,3,1
12974,Echo Design Women's Graphic Diamonds Tunic With Beads,ECHO,98,45.47,3,1
13015,Echo Design Women's Solid Butterfly With Braided Ties,ECHO,29.41,11.18,3,1
13126,Echo Design Women's Metallic Stripe Butterfly Tunic,ECHO,52.92,24.82,3,1
13152,Echo Design Women's Silk Beach Cover Up Dress Shirt,ECHO,39.99,15.04,3,1
13184,Echo Design Women's Mambo Circles Keyhole Tunic,ECHO,78,30.11,3,1
13226,Echo Design Women's Solid Low Back One Piece,ECHO,118,54.28,3,1
13284,Echo Design Women's Sundial Pareo,ECHO,13.27,5.59,3,1
13353,Echo Design Women's Cheetah Dress With Ties,ECHO,98,38.32,3,1
13475,Echo Design Women's Mediterranean Stripe Butterfly Tunic,ECHO,88,38.37,3,1
13489,Echo Design Women's Cheetah Butterfly Tunic,ECHO,48,18.86,3,1
13499,Echo Design Women's Asymmetrical T-Shirt Cover-Up,ECHO,25,9.53,3,1
13568,Echo Design Women's Palm Leaf Butterfly Coverups,ECHO,58.5,27.09,3,1
13952,Echo Design Women's Basic Touch Glove,ECHO,19.99,8.94,1,1
14032,Echo Design Women's Knit Touch Glove And Earbuds Music Set,ECHO,45,17.1,1,1
14109,Echo Design Women's Touch Ruched Gloves,ECHO,29.99,11.79,1,1
14139,Echo Design Women's Racking Stitch Newsboy Hat,ECHO,28,11.03,1,1
14232,Echo Design Women's Echo Touch Warmers Knit Glove,ECHO,28,12.21,1,1
14234,Echo Design Women's Sculptural Pleats Muffler,ECHO,38,16.64,1,1
15981,Echo Design Women's Knit Touch Glove And Earbuds Music Set,ECHO,45,20.43,2,1
28627,Echo Design Men's Warmers Touch Glove,ECHO,34.99,15.47,1,1
23312,ERGO Clothing Scratch Board Short - Men's,ERGO,51.95,27.33,15,1
27003,Navy Satin Bath Robe for Men,Easy,24.99,9.3,18,1
17483,Howe Men's Agenda Surrender Hoodie,Howe,89,45.48,9,1
20265,Howe Men's Everything Changes Blazer,Howe,133.33,58,19,1
20495,Howe Men's Personal Jesus Blazer,Howe,199,71.64,19,1
15917,Keds Popcorn Socks in 3 Pack Different Style Great Colors,Keds,3.5,1.64,2,1
12216,Lace Bra and Panty Set Neon Pink Neon Yellow Black,Kiss,17.99,9.01,21,1
12217,Set: Mini Heart Bra and Sexy Lace Bottom Panty,Kiss,19.99,11.37,21,1
9674,Lanz Originals Women's Knit and Lace Sleeveless Short Gown,Lanz,34.99,21.1,18,1
3860,Junior's Halter Dress with Round Buckle,MW22,19.99,9.28,7,1
5602,Womens Tuxedo Trouser - Polyester Double Pleated Straight Waist,Mina,29.95,15.78,8,1
7337,100 % Polyester Tuxedo Skirts Black-Your Choice Mid Length (Left Hand Side) or Full Length (Right Hand Side),Mina,29.95,13.3,10,1
17691,NOTW Edgy Pullover Hoodie,NOTW,39.99,21.11,9,1
17981,Obey The Trademark Zip Hood in Jet Black,Obey,76,38.3,9,1
18011,Obey Printing Press Hoodie Heather Charcoal Mens,Obey,54.95,31.65,9,1
27630,Onia Men's Calder 7.5 Swim Shorts,Onia,130,73.58,3,1
27946,Onia Men's Spanish Calder Swim Shorts,Onia,145,93.67,3,1
2935,Pony Women's 6-Pairs Athletic Low Cut Socks - Many Cute Patterns,Pony,11.99,5.3,4,1
17702,Ride Logo Mens Pullover Hoodie Electric Blue Sz S,Ride,37.36,21,9,1
27912,2EROS - S03-07 - ICON2 Low Rise Quick Dry Swim Shorts - Black Mystic Pink or Blue,2EROS,56,31.81,3,1
